col0 col1
19012.56 111746861760512.0
19012.59 111746232614912.0
19012.62 111745595080704.0
19012.65 111744957546496.0
19012.68 111744328400896.0
19012.71 111743690866688.0
19012.74 111743053332480.0
19012.77 111742424186880.0
19012.8 111741803429888.0
19012.83 111741174284288.0
19012.86 111740545138688.0
19012.89 111739915993088.0
19012.92 111739286847488.0
19012.95 111738649313280.0
19012.98 111738011779072.0
19013.01 111737357467648.0
19013.04 111736644435968.0
19013.07 111735813963776.0
19013.1 111734723444736.0
19013.13 111733205106688.0
19013.16 111731133120512.0
19013.19 111728608149504.0
19013.22 111726108344320.0
19013.25 111724321570816.0
19013.28 111723793088512.0
19013.31 111724489342976.0
19013.34 111725831520256.0
19013.37 111727098200064.0
19013.4 111727836397568.0
19013.43 111727987392512.0
19013.46 111727710568448.0
19013.49 111727215640576.0
19013.52 111726628438016.0
19013.55 111725999292416.0
19013.58 111725344980992.0
19013.61 111724606783488.0
19013.64 111723625316352.0
19013.67 111722006315008.0
19013.7 111719070302208.0
19013.73 111714079080448.0
19013.76 111706873266176.0
19013.79 111698652430336.0
19013.82 111691991875584.0
19013.85 111689525624832.0
19013.88 111692126093312.0
19013.91 111698174279680.0
19013.94 111704709005312.0
19013.97 111709289185280.0
19014.0 111710950129664.0
19014.03 111710094491648.0
19014.06 111707913453568.0
19014.09 111705833078784.0
19014.12 111704910331904.0
19014.15 111705455591424.0
19014.18 111706957152256.0
19014.21 111708567764992.0
19014.24 111709641506816.0
19014.27 111710035771392.0
19014.3 111709893165056.0
19014.33 111709456957440.0
19014.36 111708886532096.0
19014.39 111708265775104.0
19014.42 111707636629504.0
19014.45 111706999095296.0
19014.48 111706369949696.0
19014.51 111705732415488.0
19014.54 111705094881280.0
19014.57 111704457347072.0
19014.6 111703819812864.0
19014.63 111703182278656.0
19014.66 111702536355840.0
19014.69 111701873655808.0
19014.72 111701160624128.0
19014.75 111700380483584.0
19014.78 111699508068352.0
19014.81 111698560155648.0
19014.84 111697620631552.0
19014.87 111696798547968.0
19014.9 111696110682112.0
19014.93 111695406039040.0
19014.96 111694357463040.0
19014.99 111692537135104.0
19015.02 111689710174208.0
19015.05 111685994020864.0
19015.08 111681992654848.0
19015.11 111678452662272.0
19015.14 111675910914048.0
19015.17 111674644234240.0
19015.2 111674778451968.0
19015.23 111676330344448.0
19015.26 111678947590144.0
19015.29 111681841659904.0
19015.32 111684190470144.0
19015.35 111685549424640.0
19015.38 111685977243648.0
19015.41 111685826248704.0
19015.44 111685398429696.0
19015.47 111684895113216.0
19015.5 111684358242304.0
19015.53 111683812982784.0
19015.56 111683234168832.0
19015.59 111682621800448.0
19015.62 111681992654848.0
19015.65 111681346732032.0
19015.68 111680684032000.0
19015.71 111680012943360.0
19015.74 111679316688896.0
19015.77 111678561714176.0
19015.8 111677655744512.0
19015.83 111676472950784.0
19015.86 111674921058304.0
19015.89 111673016844288.0
19015.92 111671070687232.0
19015.95 111669535571968.0
19015.98 111668763820032.0
19016.01 111668730265600.0
19016.04 111669049032704.0
19016.07 111669208416256.0
19016.1 111668738654208.0
19016.13 111667337756672.0
19016.16 111664829562880.0
19016.19 111661323124736.0
19016.22 111657397256192.0
19016.25 111654100533248.0
19016.28 111652447977472.0
19016.31 111652791910400.0
19016.34 111654553518080.0
19016.37 111656575172608.0
19016.4 111657833463808.0
19016.43 111657757966336.0
19016.46 111656080244736.0
19016.49 111652515086336.0
19016.52 111646466899968.0
19016.55 111636887109632.0
19016.58 111622257377280.0
19016.61 111600765763584.0
19016.64 111570516443136.0
19016.67 111529949134848.0
19016.7 111478166257664.0
19016.73 111415411081216.0
19016.76 111343436824576.0
19016.79 111265833811968.0
19016.82 111188121747456.0
19016.85 111117238009856.0
19016.88 111060472299520.0
19016.91 111024090906624.0
19016.94 111012288135168.0
19016.97 111026297110528.0
19017.0 111064356225024.0
19017.03 111121969184768.0
19017.06 111192827756544.0
19017.09 111269759680512.0
19017.12 111345953406976.0
19017.15 111415880843264.0
19017.18 111475960053760.0
19017.21 111524563648512.0
19017.24 111561750347776.0
19017.27 111588770054144.0
19017.3 111607459872768.0
19017.33 111619782737920.0
19017.36 111627558977536.0
19017.39 111632315318272.0
19017.42 111635184222208.0
19017.45 111636929052672.0
19017.48 111637986017280.0
19017.51 111638573219840.0
19017.54 111638774546432.0
19017.57 111638682271744.0
19017.6 111638388670464.0
19017.63 111637952462848.0
19017.66 111637415591936.0
19017.69 111636811612160.0
19017.72 111636140523520.0
19017.75 111635435880448.0
19017.78 111634722848768.0
19017.81 111634068537344.0
19017.84 111633506500608.0
19017.87 111633011572736.0
19017.9 111632566976512.0
19017.93 111632088825856.0
19017.96 111631518400512.0
19017.99 111630796980224.0
19018.02 111629924564992.0
19018.05 111628976652288.0
19018.08 111628095848448.0
19018.11 111627433148416.0
19018.14 111627038883840.0
19018.17 111626804002816.0
19018.2 111626510401536.0
19018.23 111625931587584.0
19018.26 111624815902720.0
19018.29 111623003963392.0
19018.32 111620546101248.0
19018.35 111617878523904.0
19018.38 111615756206080.0
19018.41 111614850236416.0
19018.44 111615236112384.0
19018.47 111616360185856.0
19018.5 111617375207424.0
19018.53 111617710751744.0
19018.56 111617291321344.0
19018.59 111616402128896.0
19018.62 111615479382016.0
19018.65 111614799904768.0
19018.68 111614430806016.0
19018.71 111614229479424.0
19018.74 111614028152832.0
19018.77 111613768105984.0
19018.8 111613482893312.0
19018.83 111613206069248.0
19018.86 111612937633792.0
19018.89 111612610478080.0
19018.92 111612182659072.0
19018.95 111611637399552.0
19018.98 111610957922304.0
19019.01 111610144227328.0
19019.04 111609213091840.0
19019.07 111608256790528.0
19019.1 111607359209472.0
19019.13 111606629400576.0
19019.16 111606075752448.0
19019.19 111605639544832.0
19019.22 111605161394176.0
19019.25 111604465139712.0
19019.28 111603282345984.0
19019.31 111601369743360.0
19019.34 111598618279936.0
19019.37 111595262836736.0
19019.4 111591899004928.0
19019.43 111589021712384.0
19019.46 111586605793280.0
19019.49 111584055656448.0
19019.52 111580876374016.0
19019.55 111577193775104.0
19019.58 111573813166080.0
19019.61 111571674071040.0
19019.64 111571447578624.0
19019.67 111573360181248.0
19019.7 111577093111808.0
19019.73 111581732012032.0
19019.76 111586085699584.0
19019.79 111589248204800.0
19019.82 111590967869440.0
19019.85 111591504740352.0
19019.88 111591311802368.0
19019.91 111590749765632.0
19019.94 111590019956736.0
19019.97 111589239816192.0
19020.0 111588442898432.0
19020.03 111587629203456.0
19020.06 111586740011008.0
19020.09 111585666269184.0
19020.12 111584315703296.0
19020.15 111582612815872.0
19020.18 111580473720832.0
19020.21 111577881640960.0
19020.24 111574811410432.0
19020.27 111571288195072.0
19020.3 111567345549312.0
19020.33 111563058970624.0
19020.36 111558520733696.0
19020.39 111553906999296.0
19020.42 111549561700352.0
19020.45 111546055262208.0
19020.48 111544033607680.0
19020.51 111543907778560.0
19020.54 111545593888768.0
19020.57 111548546678784.0
19020.6 111552069894144.0
19020.63 111555609886720.0
19020.66 111558873055232.0
19020.69 111561733570560.0
19020.72 111564141101056.0
19020.75 111566070480896.0
19020.78 111567521710080.0
19020.81 111568528343040.0
19020.84 111569132322816.0
19020.87 111569400758272.0
19020.9 111569409146880.0
19020.93 111569216208896.0
19020.96 111568863887360.0
19020.99 111568385736704.0
19021.02 111567773368320.0
19021.05 111567018393600.0
19021.08 111566137589760.0
19021.11 111565189677056.0
19021.14 111564292096000.0
19021.17 111563528732672.0
19021.2 111562891198464.0
19021.23 111562203332608.0
19021.26 111561263808512.0
19021.29 111559980351488.0
19021.32 111558545899520.0
19021.35 111557346328576.0
19021.38 111556717182976.0
19021.41 111556725571584.0
19021.44 111557094670336.0
19021.47 111557446991872.0
19021.5 111557547655168.0
19021.53 111557329551360.0
19021.56 111556901732352.0
19021.59 111556339695616.0
19021.62 111555727327232.0
19021.65 111555073015808.0
19021.68 111554385149952.0
19021.71 111553638563840.0
19021.74 111552791314432.0
19021.77 111551751127040.0
19021.8 111550400561152.0
19021.83 111548605399040.0
19021.86 111546407583744.0
19021.89 111544134270976.0
19021.92 111542414606336.0
19021.95 111541751906304.0
19021.98 111542213279744.0
19022.01 111543303798784.0
19022.04 111544385929216.0
19022.07 111545015074816.0
19022.1 111545115738112.0
19022.13 111544822136832.0
19022.16 111544327208960.0
19022.19 111543731617792.0
19022.22 111543110860800.0
19022.25 111542481715200.0
19022.28 111541835792384.0
19022.31 111541189869568.0
19022.34 111540510392320.0
19022.37 111539780583424.0
19022.4 111539008831488.0
19022.43 111538186747904.0
19022.46 111537373052928.0
19022.49 111536634855424.0
19022.52 111536005709824.0
19022.55 111535477227520.0
19022.58 111534923579392.0
19022.61 111534202159104.0
19022.64 111533120028672.0
19022.67 111531509415936.0
19022.7 111529236103168.0
19022.73 111526308478976.0
19022.76 111522835595264.0
19022.79 111519018778624.0
19022.82 111515126464512.0
19022.85 111511552917504.0
19022.88 111508809842688.0
19022.91 111507425722368.0
19022.94 111507744489472.0
19022.97 111509782921216.0
19023.0 111513071255552.0
19023.03 111516753854464.0
19023.06 111519907971072.0
19023.09 111521963180032.0
19023.12 111522894315520.0
19023.15 111523011756032.0
19023.18 111522659434496.0
19023.21 111522080620544.0
19023.24 111521367588864.0
19023.27 111520570671104.0
19023.3 111519706644480.0
19023.33 111518842617856.0
19023.36 111518054088704.0
19023.39 111517416554496.0
19023.42 111516938403840.0
19023.45 111516544139264.0
19023.48 111516149874688.0
19023.51 111515680112640.0
19023.54 111515143241728.0
19023.57 111514556039168.0
19023.6 111513943670784.0
19023.63 111513306136576.0
19023.66 111512643436544.0
19023.69 111511938793472.0
19023.72 111511150264320.0
19023.75 111510269460480.0
19023.78 111509313159168.0
19023.81 111508373635072.0
19023.84 111507568328704.0
19023.87 111506972737536.0
19023.9 111506561695744.0
19023.93 111506192596992.0
19023.96 111505731223552.0
19023.99 111505085300736.0
19024.02 111504238051328.0
19024.05 111503223029760.0
19024.08 111502149287936.0
19024.11 111501142654976.0
19024.14 111500337348608.0
19024.17 111499766923264.0
19024.2 111499355881472.0
19024.23 111498877730816.0
19024.26 111498005315584.0
19024.29 111496302428160.0
19024.32 111493458690048.0
19024.35 111489583153152.0
19024.38 111485422403584.0
19024.41 111482226343936.0
19024.44 111481026772992.0
19024.47 111481941131264.0
19024.5 111484055060480.0
19024.53 111486152212480.0
19024.56 111487519555584.0
19024.59 111488173867008.0
19024.62 111488501022720.0
19024.65 111488752680960.0
19024.68 111488937230336.0
19024.71 111488962396160.0
19024.74 111488803012608.0
19024.77 111488475856896.0
19024.8 111488006094848.0
19024.83 111487368560640.0
19024.86 111486521311232.0
19024.89 111485405626368.0
19024.92 111484013117440.0
19024.95 111482318618624.0
19024.98 111480305352704.0
19025.01 111477914599424.0
19025.04 111475171524608.0
19025.07 111472277454848.0
19025.1 111469693763584.0
19025.13 111467965710336.0
19025.16 111467512725504.0
19025.19 111468351586304.0
19025.22 111470088028160.0
19025.25 111472118071296.0
19025.28 111473904844800.0
19025.31 111475096027136.0
19025.34 111475607732224.0
19025.37 111475481903104.0
19025.4 111474835980288.0
19025.43 111473795792896.0
19025.46 111472503947264.0
19025.49 111471161769984.0
19025.52 111469995753472.0
19025.55 111469114949632.0
19025.58 111468410306560.0
19025.61 111467579834368.0
19025.64 111466212491264.0
19025.67 111464073396224.0
19025.7 111461313544192.0
19025.73 111458553692160.0
19025.76 111456649478144.0
19025.79 111456162938880.0
19025.82 111456993411072.0
19025.85 111458511749120.0
19025.88 111460021698560.0
19025.91 111461128994816.0
19025.94 111461774917632.0
19025.97 111462043353088.0
19026.0 111461951078400.0
19026.03 111461489704960.0
19026.06 111460617289728.0
19026.09 111459375775744.0
19026.12 111457916157952.0
19026.15 111456565592064.0
19026.18 111455659622400.0
19026.21 111455332466688.0
19026.24 111455458295808.0
19026.27 111455726731264.0
19026.3 111455844171776.0
19026.33 111455701565440.0
19026.36 111455324078080.0
19026.39 111454803984384.0
19026.42 111454208393216.0
19026.45 111453587636224.0
19026.48 111452958490624.0
19026.51 111452320956416.0
19026.54 111451683422208.0
19026.57 111451037499392.0
19026.6 111450391576576.0
19026.63 111449728876544.0
19026.66 111449049399296.0
19026.69 111448302813184.0
19026.72 111447447175168.0
19026.75 111446398599168.0
19026.78 111445056421888.0
19026.81 111443395477504.0
19026.84 111441482874880.0
19026.87 111439553495040.0
19026.9 111437942882304.0
19026.93 111436961415168.0
19026.96 111436743311360.0
19026.99 111437120798720.0
19027.02 111437791887360.0
19027.05 111438412644352.0
19027.08 111438764965888.0
19027.11 111438773354496.0
19027.14 111438513307648.0
19027.17 111438051934208.0
19027.2 111437489897472.0
19027.23 111436843974656.0
19027.26 111436130942976.0
19027.29 111435325636608.0
19027.32 111434436444160.0
19027.35 111433480142848.0
19027.38 111432523841536.0
19027.41 111431668203520.0
19027.44 111430988726272.0
19027.47 111430510575616.0
19027.5 111430183419904.0
19027.53 111429914984448.0
19027.56 111429604605952.0
19027.59 111429201952768.0
19027.62 111428715413504.0
19027.65 111428153376768.0
19027.68 111427549396992.0
19027.71 111426928640000.0
19027.74 111426299494400.0
19027.77 111425645182976.0
19027.8 111424982482944.0
19027.83 111424286228480.0
19027.86 111423539642368.0
19027.89 111422776279040.0
19027.92 111422004527104.0
19027.95 111421257940992.0
19027.98 111420519743488.0
19028.01 111419647328256.0
19028.04 111418405814272.0
19028.07 111416577097728.0
19028.1 111414161178624.0
19028.13 111411577487360.0
19028.16 111409589387264.0
19028.19 111408826023936.0
19028.22 111409371283456.0
19028.25 111410663129088.0
19028.28 111411963363328.0
19028.31 111412760281088.0
19028.34 111412944830464.0
19028.37 111412659617792.0
19028.4 111412114358272.0
19028.43 111411460046848.0
19028.46 111410780569600.0
19028.49 111410134646784.0
19028.52 111409530667008.0
19028.55 111408951853056.0
19028.58 111408356261888.0
19028.61 111407727116288.0
19028.64 111407047639040.0
19028.67 111406317830144.0
19028.7 111405537689600.0
19028.73 111404682051584.0
19028.76 111403650252800.0
19028.79 111402274521088.0
19028.82 111400445804544.0
19028.85 111398256377856.0
19028.88 111396159225856.0
19028.91 111394733162496.0
19028.94 111394347286528.0
19028.97 111394892546048.0
19029.0 111395806904320.0
19029.03 111396511547392.0
19029.06 111396654153728.0
19029.09 111396134060032.0
19029.12 111394934489088.0
19029.15 111393013497856.0
19029.18 111390547247104.0
19029.21 111388022276096.0
19029.24 111386227113984.0
19029.27 111385732186112.0
19029.3 111386512326656.0
19029.33 111387938390016.0
19029.36 111389247012864.0
19029.39 111389993598976.0
19029.42 111390136205312.0
19029.45 111389850992640.0
19029.48 111389347676160.0
19029.51 111388752084992.0
19029.54 111388122939392.0
19029.57 111387493793792.0
19029.6 111386856259584.0
19029.63 111386218725376.0
19029.66 111385581191168.0
19029.69 111384935268352.0
19029.72 111384272568320.0
19029.75 111383567925248.0
19029.78 111382762618880.0
19029.81 111381781151744.0
19029.84 111380556414976.0
19029.87 111379163906048.0
19029.9 111377804951552.0
19029.93 111376781541376.0
19029.96 111376261447680.0
19029.99 111376202727424.0
19030.02 111376336945152.0
19030.05 111376395665408.0
19030.08 111376227893248.0
19030.11 111375850405888.0
19030.14 111375321923584.0
19030.17 111374717943808.0
19030.2 111374072020992.0
19030.23 111373392543744.0
19030.26 111372687900672.0
19030.29 111371974868992.0
19030.32 111371270225920.0
19030.35 111370607525888.0
19030.38 111369961603072.0
19030.41 111369315680256.0
19030.44 111368594259968.0
19030.47 111367747010560.0
19030.5 111366757154816.0
19030.53 111365725356032.0
19030.56 111364785831936.0
19030.59 111364081188864.0
19030.62 111363644981248.0
19030.65 111363393323008.0
19030.68 111363175219200.0
19030.71 111362873229312.0
19030.74 111362428633088.0
19030.77 111361874984960.0
19030.8 111361220673536.0
19030.83 111360499253248.0
19030.86 111359735889920.0
19030.89 111358980915200.0
19030.92 111358276272128.0
19030.95 111357655515136.0
19030.98 111357118644224.0
19031.01 111356615327744.0
19031.04 111356095234048.0
19031.07 111355533197312.0
19031.1 111354937606144.0
19031.13 111354316849152.0
19031.16 111353687703552.0
19031.19 111353050169344.0
19031.22 111352412635136.0
19031.25 111351775100928.0
19031.28 111351137566720.0
19031.31 111350500032512.0
19031.34 111349854109696.0
19031.37 111349216575488.0
19031.4 111348579041280.0
19031.43 111347941507072.0
19031.46 111347303972864.0
19031.49 111346658050048.0
19031.52 111346020515840.0
19031.55 111345382981632.0
19031.58 111344745447424.0
19031.61 111344099524608.0
19031.64 111343461990400.0
19031.67 111342824456192.0
19031.7 111342186921984.0
19031.73 111341540999168.0
19031.76 111340903464960.0
19031.79 111340265930752.0
19031.82 111339620007936.0
19031.85 111338982473728.0
19031.88 111338344939520.0
19031.91 111337699016704.0
19031.94 111337061482496.0
19031.97 111336423948288.0
19032.0 111335778025472.0
19032.03 111335140491264.0
19032.06 111334494568448.0
19032.09 111333840257024.0
19032.12 111333169168384.0
19032.15 111332489691136.0
19032.18 111331785048064.0
19032.21 111331088793600.0
19032.24 111330400927744.0
