Wavelength (micron)	F2 Net System Transmission with Ks Filter (BARR MAN317A; Gemini ID Ks_G0804) (1=100%)
2.0390	0.6865
2.0395	0.6916
2.0400	0.6862
2.0405	0.6902
2.0410	0.6857
2.0415	0.6867
2.0420	0.6816
2.0425	0.6827
2.0430	0.6888
2.0435	0.6889
2.0440	0.6895
2.0445	0.6892
2.0450	0.6895
2.0455	0.6910
2.0460	0.6901
2.0465	0.6903
2.0470	0.6866
2.0475	0.6921
2.0480	0.6925
2.0485	0.6926
2.0490	0.6926
2.0495	0.6936
2.0500	0.6890
2.0506	0.6943
2.0511	0.6905
2.0516	0.6916
2.0521	0.6884
2.0526	0.6950
2.0531	0.6911
2.0536	0.7030
2.0541	0.7034
2.0546	0.7028
2.0551	0.7040
2.0556	0.6994
2.0561	0.7051
2.0566	0.7058
2.0571	0.7052
2.0576	0.7070
2.0581	0.7073
2.0586	0.7020
2.0591	0.7088
2.0596	0.7093
2.0601	0.7135
2.0606	0.7091
2.0611	0.7090
2.0616	0.7105
2.0621	0.7153
2.0626	0.7095
2.0631	0.7152
2.0636	0.7059
2.0641	0.7115
2.0646	0.7120
2.0651	0.7117
2.0656	0.7135
2.0661	0.7140
2.0666	0.7087
2.0671	0.7153
2.0676	0.7164
2.0681	0.7113
2.0686	0.7182
2.0691	0.7130
2.0696	0.7186
2.0701	0.7153
2.0706	0.7201
2.0711	0.7162
2.0716	0.7313
2.0721	0.7238
2.0726	0.7239
2.0731	0.7230
2.0736	0.7168
2.0741	0.7221
2.0746	0.7159
2.0751	0.7158
2.0756	0.7158
2.0761	0.7103
2.0766	0.7161
2.0771	0.7110
2.0776	0.7160
2.0781	0.7199
2.0786	0.7139
2.0791	0.7184
2.0796	0.7124
2.0801	0.7108
2.0806	0.7062
2.0811	0.7112
2.0816	0.7097
2.0821	0.7095
2.0826	0.7128
2.0831	0.7064
2.0836	0.7018
2.0841	0.7062
2.0846	0.7051
2.0851	0.7049
2.0857	0.7035
2.0862	0.7029
2.0867	0.7024
2.0872	0.7014
2.0877	0.6914
2.0882	0.6974
2.0887	0.6979
2.0892	0.6931
2.0897	0.6990
2.0902	0.6994
2.0907	0.6998
2.0912	0.7001
2.0917	0.7092
2.0922	0.7031
2.0927	0.7031
2.0932	0.7068
2.0937	0.7014
2.0942	0.7007
2.0947	0.7007
2.0952	0.7051
2.0957	0.6918
2.0962	0.6972
2.0967	0.6934
2.0972	0.6998
2.0977	0.7015
2.0982	0.7024
2.0987	0.7029
2.0992	0.7047
2.0997	0.7100
2.1002	0.7144
2.1007	0.7139
2.1012	0.7087
2.1017	0.7143
2.1022	0.7100
2.1027	0.7089
2.1032	0.7101
2.1037	0.7155
2.1042	0.7102
2.1047	0.7109
2.1052	0.7153
2.1057	0.7074
2.1062	0.7132
2.1067	0.7132
2.1072	0.7142
2.1077	0.7151
2.1082	0.7152
2.1087	0.7162
2.1092	0.7166
2.1097	0.7181
2.1102	0.7182
2.1107	0.7183
2.1112	0.7196
2.1117	0.7204
2.1122	0.7206
2.1127	0.7214
2.1132	0.7210
2.1137	0.7267
2.1142	0.7272
2.1147	0.7254
2.1152	0.7206
2.1157	0.7264
2.1162	0.7253
2.1167	0.7204
2.1172	0.7248
2.1177	0.7155
2.1182	0.7223
2.1187	0.7219
2.1192	0.7218
2.1197	0.7221
2.1203	0.7182
2.1208	0.7199
2.1213	0.7248
2.1218	0.7168
2.1223	0.7189
2.1228	0.7247
2.1233	0.7226
2.1238	0.7328
2.1243	0.7363
2.1248	0.7320
2.1253	0.7360
2.1258	0.7350
2.1263	0.7301
2.1268	0.7338
2.1273	0.7337
2.1278	0.7291
2.1283	0.7322
2.1288	0.7275
2.1293	0.7321
2.1298	0.7265
2.1303	0.7268
2.1308	0.7266
2.1313	0.7224
2.1318	0.7237
2.1323	0.7204
2.1328	0.7269
2.1333	0.7273
2.1338	0.7283
2.1343	0.7299
2.1348	0.7310
2.1353	0.7363
2.1358	0.7318
2.1363	0.7323
2.1368	0.7343
2.1373	0.7394
2.1378	0.7348
2.1383	0.7361
2.1388	0.7328
2.1393	0.7393
2.1398	0.7487
2.1403	0.7434
2.1408	0.7473
2.1413	0.7426
2.1418	0.7475
2.1423	0.7458
2.1428	0.7448
2.1433	0.7441
2.1438	0.7430
2.1443	0.7422
2.1448	0.7372
2.1453	0.7407
2.1458	0.7405
2.1463	0.7354
2.1468	0.7391
2.1473	0.7385
2.1478	0.7295
2.1483	0.7337
2.1488	0.7297
2.1493	0.7347
2.1498	0.7350
2.1503	0.7351
2.1508	0.7382
2.1513	0.7337
2.1518	0.7297
2.1523	0.7306
2.1528	0.7308
2.1533	0.7313
2.1538	0.7373
2.1543	0.7370
