Wavelength (micron)	F2 Net System Transmission with H Filter (BARR MAN114A; Gemini ID H_G0803)(1=100%)
1.5983	0.7770
1.5988	0.7783
1.5993	0.7800
1.5998	0.7846
1.6003	0.7814
1.6008	0.7825
1.6013	0.7871
1.6018	0.7836
1.6023	0.7842
1.6028	0.7853
1.6033	0.7857
1.6038	0.7865
1.6043	0.7906
1.6048	0.7863
1.6053	0.7870
1.6058	0.7909
1.6063	0.7833
1.6068	0.7883
1.6073	0.7881
1.6078	0.7848
1.6083	0.7865
1.6088	0.7873
1.6093	0.7884
1.6098	0.7898
1.6103	0.7937
1.6108	0.7942
1.6113	0.7942
1.6118	0.7905
1.6123	0.7988
1.6128	0.7940
1.6133	0.7940
1.6138	0.7946
1.6143	0.7938
1.6148	0.7907
1.6153	0.7953
1.6158	0.7912
1.6163	0.7992
1.6168	0.7950
1.6173	0.7976
1.6178	0.7938
1.6183	0.7962
1.6188	0.7917
1.6193	0.7953
1.6198	0.7903
1.6203	0.7900
1.6208	0.7931
1.6213	0.7878
1.6218	0.7881
1.6223	0.7909
1.6228	0.7853
1.6233	0.7853
1.6238	0.7879
1.6243	0.7796
1.6248	0.7771
1.6253	0.7808
1.6258	0.7810
1.6263	0.7720
1.6268	0.7778
1.6273	0.7801
1.6278	0.7790
1.6283	0.8044
1.6288	0.7982
1.6293	0.7983
1.6298	0.7911
1.6303	0.7889
1.6308	0.7890
1.6313	0.7822
1.6318	0.7798
1.6323	0.7736
1.6328	0.7692
1.6333	0.7718
1.6338	0.7699
1.6343	0.7656
1.6348	0.7650
1.6353	0.7679
1.6358	0.7637
1.6363	0.7660
1.6368	0.7650
1.6373	0.7614
1.6378	0.7642
1.6383	0.7632
1.6388	0.7592
1.6393	0.7628
1.6398	0.7592
1.6403	0.7591
1.6408	0.7560
1.6413	0.7573
1.6418	0.7619
1.6423	0.7626
1.6428	0.7633
1.6433	0.7606
1.6438	0.7655
1.6443	0.7666
1.6448	0.7641
1.6453	0.7689
1.6458	0.7695
1.6463	0.7705
1.6468	0.7713
1.6473	0.7718
1.6478	0.7728
1.6483	0.7769
1.6488	0.7766
1.6493	0.7733
1.6498	0.7768
1.6503	0.7735
1.6508	0.7711
1.6513	0.7757
1.6518	0.7764
1.6523	0.7701
1.6528	0.7727
1.6533	0.7787
1.6538	0.7762
1.6543	0.7886
1.6548	0.7847
1.6553	0.7878
1.6558	0.7871
1.6563	0.7899
1.6568	0.7906
1.6573	0.7852
1.6578	0.7833
1.6583	0.7704
1.6588	0.7719
1.6593	0.7727
1.6598	0.7736
1.6603	0.7747
1.6608	0.7715
1.6613	0.7768
1.6618	0.7780
1.6623	0.7783
1.6628	0.7827
1.6633	0.7788
1.6638	0.7827
1.6643	0.7897
1.6648	0.7837
1.6653	0.7860
1.6658	0.7808
1.6663	0.7825
1.6668	0.7779
1.6673	0.7800
1.6678	0.7775
1.6683	0.7729
1.6688	0.7717
1.6693	0.7738
1.6698	0.7687
1.6703	0.7642
1.6708	0.7647
1.6713	0.7685
1.6718	0.7636
1.6723	0.7639
1.6728	0.7643
1.6733	0.7605
1.6738	0.7657
1.6743	0.7691
1.6748	0.7645
1.6753	0.7689
1.6758	0.7650
1.6763	0.7646
1.6768	0.7684
1.6773	0.7643
1.6778	0.7650
1.6783	0.7653
1.6788	0.7677
1.6793	0.7644
1.6798	0.7682
1.6803	0.7669
1.6808	0.7634
1.6813	0.7661
1.6818	0.7655
1.6823	0.7654
1.6828	0.7640
1.6833	0.7598
1.6838	0.7631
1.6843	0.7554
1.6848	0.7564
1.6853	0.7604
1.6858	0.7569
1.6863	0.7550
1.6868	0.7532
1.6873	0.7556
1.6878	0.7621
1.6883	0.7739
1.6888	0.7724
1.6893	0.7712
1.6898	0.7663
1.6903	0.7730
1.6908	0.7676
1.6913	0.7661
1.6918	0.7684
1.6923	0.7558
1.6928	0.7561
1.6933	0.7610
1.6938	0.7569
1.6943	0.7572
1.6948	0.7612
1.6953	0.7580
1.6958	0.7589
1.6963	0.7660
1.6968	0.7614
1.6973	0.7611
1.6978	0.7616
1.6983	0.7614
1.6988	0.7609
1.6993	0.7606
1.6998	0.7607
1.7003	0.7642
1.7008	0.7602
1.7013	0.7596
1.7018	0.7592
1.7023	0.7637
1.7028	0.7627
1.7033	0.7582
1.7038	0.7620
1.7043	0.7674
1.7048	0.7648
1.7053	0.7623
1.7058	0.7589
1.7063	0.7531
1.7068	0.7516
1.7073	0.7493
1.7078	0.7513
1.7083	0.7352
1.7088	0.7394
1.7093	0.7400
1.7098	0.7401
1.7103	0.7405
1.7108	0.7406
1.7113	0.7438
1.7118	0.7403
1.7123	0.7405
1.7128	0.7364
1.7133	0.7415
1.7138	0.7386
1.7143	0.7428
1.7148	0.7398
1.7153	0.7440
1.7158	0.7442
1.7163	0.7448
1.7168	0.7444
1.7173	0.7445
1.7178	0.7448
1.7183	0.7445
1.7188	0.7483
1.7193	0.7441
1.7198	0.7436
1.7203	0.7445
1.7208	0.7440
1.7213	0.7438
1.7218	0.7444
1.7223	0.7406
1.7228	0.7382
1.7233	0.7406
1.7238	0.7452
1.7243	0.7465
1.7248	0.7475
1.7253	0.7514
1.7258	0.7483
1.7263	0.7525
1.7268	0.7521
1.7273	0.7493
1.7278	0.7532
1.7283	0.7563
1.7288	0.7559
1.7293	0.7513
1.7298	0.7545
1.7303	0.7501
1.7308	0.7531
1.7313	0.7524
1.7318	0.7482
1.7323	0.7510
1.7328	0.7468
1.7333	0.7502
1.7338	0.7489
1.7343	0.7449
1.7348	0.7447
1.7353	0.7446
1.7358	0.7446
1.7363	0.7410
1.7368	0.7453
1.7373	0.7453
1.7378	0.7415
1.7383	0.7486
1.7388	0.7450
