Wavelength (micron)	F2 Net System Transmission with J Filter (BARR MAN256-1; Gemini ID J_G0802) (1=100%)
1.3730	0.0003
1.3735	0.0003
1.3740	0.0002
1.3745	0.0003
1.3750	0.0002
1.3755	0.0002
1.3760	0.0002
1.3765	0.0002
1.3770	0.0002
1.3775	0.0002
1.3780	0.0002
1.3785	0.0002
1.3790	0.0002
1.3795	0.0002
1.3800	0.0002
1.3805	0.0001
1.3810	0.0001
1.3815	0.0001
1.3820	0.0001
1.3825	0.0001
1.3830	0.0001
1.3835	0.0001
1.3840	0.0001
1.3845	0.0001
1.3850	0.0001
1.3855	0.0001
1.3860	0.0001
1.3865	0.0001
1.3870	0.0001
1.3875	0.0001
1.3880	0.0001
1.3885	0.0001
1.3890	0.0001
1.3895	0.0001
1.3900	0.0001
1.3905	0.0001
1.3910	0.0001
1.3915	0.0001
1.3920	0.0001
1.3925	0.0001
1.3930	0.0001
1.3935	0.0001
1.3940	0.0001
1.3945	0.0001
1.3950	0.0001
1.3955	0.0001
1.3960	0.0001
1.3965	0.0001
1.3970	0.0001
1.3975	0.0001
1.3980	0.0001
1.3985	0.0001
1.3990	0.0000
1.3995	0.0000
1.4000	0.0000
